,UTC,PositionStatus,Latitude,LatitudeDirection,Longitude,LongitudeDirection,Speed,TimeStamp,Date,Unknown,Zone,Label
0,170429.727,A,1301.612,N,8015.292,E,517.7,227.2,140624,0.0,W,1
1,170430.727,A,1301.513,N,8015.185,E,647.2,209.9,140624,0.0,W,1
2,170431.727,A,1301.356,N,8015.095,E,442.7,179.4,140624,0.0,W,1
3,170432.727,A,1301.233,N,8015.096,E,613.2,139.9,140624,0.0,W,1
4,170433.727,A,1301.102,N,8015.207,E,838.9,114.6,140624,0.0,W,1
5,170434.727,A,1301.002,N,8015.423,E,636.7,96.4,140624,0.0,W,1
6,170435.727,A,1300.982,N,8015.604,E,620.7,85.9,140624,0.0,W,1
7,170436.727,A,1300.995,N,8015.78,E,583.5,74.2,140624,0.0,W,1
8,170437.727,A,1301.04,N,8015.94,E,520.0,30.3,140624,0.0,W,1
9,170438.727,A,1301.165,N,8016.013,E,543.0,3.4,140624,0.0,W,1
10,170439.727,A,1301.316,N,8016.022,E,448.6,325.0,140624,0.0,W,1
11,170440.727,A,1301.419,N,8015.95,E,247.0,319.5,140624,0.0,W,1
12,170441.727,A,1301.471,N,8015.905,E,470.0,321.3,140624,0.0,W,1
13,170442.727,A,1301.574,N,8015.823,E,665.4,291.0,140624,0.0,W,1
14,170443.727,A,1301.642,N,8015.646,E,470.7,273.2,140624,0.0,W,1
15,170444.727,A,1301.65,N,8015.512,E,744.5,259.8,140624,0.0,W,1
16,170445.727,A,1301.612,N,8015.304,E,68.4,172.2,140624,0.0,W,1
17,170446.727,A,1301.593,N,8015.306,E,76.9,221.0,140624,0.0,W,1
18,170447.727,A,1301.577,N,8015.292,E,76.9,0.0,140624,0.0,W,1
19,170448.727,A,1301.577,N,8015.292,E,148.0,211.9,140624,0.0,W,1
20,170449.727,A,1301.542,N,8015.27,E,311.9,88.4,140624,0.0,W,1
21,170450.727,A,1301.544,N,8015.359,E,311.9,0.0,140624,0.0,W,1
22,170451.727,A,1301.544,N,8015.359,E,170.5,147.3,140624,0.0,W,1
23,170452.727,A,1301.504,N,8015.385,E,166.6,282.2,140624,0.0,W,1
24,170453.727,A,1301.514,N,8015.339,E,60.3,282.7,140624,0.0,W,1
25,170454.727,A,1301.518,N,8015.322,E,140.7,275.4,140624,0.0,W,1
26,170455.727,A,1301.522,N,8015.282,E,145.7,299.1,140624,0.0,W,1
27,170456.727,A,1301.542,N,8015.246,E,150.4,213.4,140624,0.0,W,1
28,170457.727,A,1301.507,N,8015.223,E,211.0,227.5,140624,0.0,W,1
29,170458.727,A,1301.466,N,8015.179,E,178.3,189.0,140624,0.0,W,1
30,170459.727,A,1301.418,N,8015.171,E,195.5,221.1,140624,0.0,W,1
31,170500.727,A,1301.376,N,8015.135,E,195.5,0.0,140624,0.0,W,1
32,170501.727,A,1301.376,N,8015.135,E,167.4,183.2,140624,0.0,W,1
33,170502.727,A,1301.33,N,8015.133,E,190.6,174.4,140624,0.0,W,1
34,170503.727,A,1301.277,N,8015.138,E,240.6,139.6,140624,0.0,W,1
35,170504.727,A,1301.226,N,8015.181,E,50.5,207.2,140624,0.0,W,1
36,170505.727,A,1301.213,N,8015.175,E,50.5,190.6,140624,0.0,W,1
37,170506.727,A,1301.199,N,8015.172,E,208.1,152.3,140624,0.0,W,1
38,170507.727,A,1301.148,N,8015.199,E,134.3,137.0,140624,0.0,W,1
39,170508.727,A,1301.12,N,8015.225,E,143.6,118.4,140624,0.0,W,1
40,170509.727,A,1301.101,N,8015.261,E,196.4,112.5,140624,0.0,W,1
41,170510.727,A,1301.08,N,8015.313,E,166.1,134.3,140624,0.0,W,1
42,170511.727,A,1301.047,N,8015.346,E,726.8,30.3,140624,0.0,W,1
43,170512.727,A,1301.222,N,8015.448,E,244.9,240.8,140624,0.0,W,1
44,170513.727,A,1301.189,N,8015.388,E,113.8,83.3,140624,0.0,W,1
45,170514.727,A,1301.192,N,8015.42,E,346.0,221.5,140624,0.0,W,1
46,170515.727,A,1301.12,N,8015.356,E,72.8,172.7,140624,0.0,W,1
