,index,UTC,Latitude,Longitude,Speed,TimeStamp,Date,Unknown,Label
0,3366,170429.727,1300.205,8015.524,38.9,296.4,140624.0,0.0,0.0
1,3367,170430.727,,,,,,,
2,3368,170431.727,,,,,,,
3,3369,170432.727,,,,,,,
4,3370,170433.727,,,,,,,
5,3371,170434.727,,,,,,,
6,3372,170435.727,,,,,,,
7,3373,170436.727,,,,,,,
8,3374,170437.727,,,,,,,
9,3375,170438.727,,,,,,,
10,3376,170439.727,,,,,,,
11,3377,170440.727,,,,,,,
12,3378,170441.727,,,,,,,
13,3379,170442.727,,,,,,,
14,3380,170443.727,,,,,,,
15,3381,170444.727,,,,,,,
16,3382,170445.727,,,,,,,
17,3383,170446.727,,,,,,,
18,3384,170447.727,,,,,,,
19,3385,170448.727,,,,,,,
20,3386,170449.727,,,,,,,
21,3387,170450.727,,,,,,,
22,3388,170451.727,,,,,,,
23,3389,170452.727,,,,,,,
24,3390,170453.727,,,,,,,
25,3391,170454.727,,,,,,,
26,3392,170455.727,,,,,,,
27,3393,170456.727,,,,,,,
28,3394,170457.727,,,,,,,
29,3395,170458.727,,,,,,,
30,3396,170459.727,,,,,,,
31,3397,170500.727,,,,,,,
32,3398,170501.727,,,,,,,
33,3399,170502.727,,,,,,,
34,3400,170503.727,,,,,,,
35,3401,170504.727,,,,,,,
36,3402,170505.727,,,,,,,
37,3403,170506.727,,,,,,,
38,3404,170507.727,,,,,,,
39,3405,170508.727,,,,,,,
40,3406,170509.727,,,,,,,
41,3407,170510.727,,,,,,,
42,3408,170511.727,,,,,,,
43,3409,170512.727,,,,,,,
44,3410,170513.727,,,,,,,
45,3411,170514.727,,,,,,,
46,3412,170515.727,,,,,,,
47,3413,170516.727,,,,,,,
48,3414,170517.727,,,,,,,
49,3415,170518.727,,,,,,,
50,3416,170519.727,,,,,,,
51,3417,170520.727,,,,,,,
52,3418,170521.727,,,,,,,
53,3419,170522.727,,,,,,,
54,3420,170523.727,,,,,,,
55,3421,170524.727,,,,,,,
56,3422,170525.727,,,,,,,
57,3423,170526.727,,,,,,,
58,3424,170527.727,,,,,,,
59,3425,170528.727,,,,,,,
60,3426,170529.727,,,,,,,
61,3427,170530.727,,,,,,,
62,3428,170531.727,,,,,,,
63,3429,170532.727,,,,,,,
64,3430,170533.727,,,,,,,
65,3431,170534.727,,,,,,,
66,3432,170535.727,,,,,,,
67,3433,170536.727,,,,,,,
68,3434,170537.727,,,,,,,
69,3435,170538.727,,,,,,,
70,3436,170539.727,,,,,,,
71,3437,170540.727,,,,,,,
72,3438,170541.727,,,,,,,
73,3439,170542.727,,,,,,,
74,3440,170543.727,,,,,,,
75,3441,170544.727,,,,,,,
76,3442,170545.727,,,,,,,
77,3443,170546.727,,,,,,,
78,3444,170547.727,,,,,,,
79,3445,170548.727,,,,,,,
80,3446,170549.727,,,,,,,
81,3447,170550.727,,,,,,,
82,3448,170551.727,,,,,,,
83,3449,170552.727,,,,,,,
84,3450,170553.727,,,,,,,
85,3451,170554.727,,,,,,,
86,3452,170555.727,,,,,,,
87,3453,170556.727,,,,,,,
88,3454,170557.727,,,,,,,
89,3455,170558.727,,,,,,,
90,3456,170559.727,,,,,,,
91,3457,170600.727,,,,,,,
92,3458,170601.727,,,,,,,
93,3459,170602.727,,,,,,,
94,3460,170603.727,,,,,,,
95,3461,170604.727,,,,,,,
96,3462,170605.727,,,,,,,
97,3463,170606.727,,,,,,,
98,3464,170607.727,,,,,,,
99,3465,170608.727,,,,,,,
100,3466,170609.727,,,,,,,
101,3467,170610.727,,,,,,,
102,3468,170611.727,,,,,,,
103,3469,170612.727,,,,,,,
104,3470,170613.727,,,,,,,
105,3471,170614.727,,,,,,,
106,3472,170615.727,,,,,,,
107,3473,170616.727,,,,,,,
108,3474,170617.727,,,,,,,
109,3475,170618.727,,,,,,,
110,3476,170619.727,,,,,,,
111,3477,170620.727,,,,,,,
112,3478,170621.727,,,,,,,
113,3479,170622.727,,,,,,,
114,3480,170623.727,,,,,,,
115,3481,170624.727,,,,,,,
116,3482,170625.727,,,,,,,
117,3483,170626.727,,,,,,,
118,3484,170627.727,,,,,,,
119,3485,170628.727,,,,,,,
120,3486,170629.727,,,,,,,
121,3487,170630.727,,,,,,,
122,3488,170631.727,,,,,,,
123,3489,170632.727,,,,,,,
124,3490,170633.727,,,,,,,
125,3491,170634.727,,,,,,,
126,3492,170635.727,,,,,,,
127,3493,170636.727,,,,,,,
128,3494,170637.727,,,,,,,
129,3495,170638.727,,,,,,,
130,3496,170639.727,,,,,,,
131,3497,170640.727,,,,,,,
132,3498,170641.727,,,,,,,
133,3499,170642.727,,,,,,,
134,3500,170643.727,,,,,,,
135,3501,170644.727,,,,,,,
136,3502,170645.727,,,,,,,
137,3503,170646.727,,,,,,,
138,3504,170647.727,,,,,,,
139,3505,170648.727,,,,,,,
140,3506,170649.727,,,,,,,
141,3507,170650.727,,,,,,,
142,3508,170651.727,,,,,,,
143,3509,170652.727,,,,,,,
144,3510,170653.727,,,,,,,
